日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240421,0015,01,京都,日,1,3連単,11→01→05,100,―,―,0
20240421,0015,02,京都,日,1,3連単,11→01→06,100,―,―,0
20240421,0015,03,京都,日,1,3連単,11→01→07,100,―,―,0
20240421,0015,04,京都,日,1,3連単,11→01→08,100,―,―,0
20240421,0015,05,京都,日,1,3連単,11→05→01,1000,―,―,0
20240421,0015,06,京都,日,1,3連単,11→05→06,1000,―,―,0
20240421,0015,07,京都,日,1,3連単,11→05→07,1000,―,―,0
20240421,0015,08,京都,日,1,3連単,11→05→08,2000,―,―,0
20240421,0015,09,京都,日,1,3連単,11→06→01,100,―,―,0
20240421,0015,10,京都,日,1,3連単,11→06→05,100,―,―,0
20240421,0015,11,京都,日,1,3連単,11→06→07,100,―,―,0
20240421,0015,12,京都,日,1,3連単,11→06→08,100,―,―,0
20240421,0015,13,京都,日,1,3連単,11→07→01,100,―,―,0
20240421,0015,14,京都,日,1,3連単,11→07→05,100,的中11→07→05,11550,11550
20240421,0015,15,京都,日,1,3連単,11→07→06,100,―,―,0
20240421,0015,16,京都,日,1,3連単,11→07→08,100,―,―,0
20240421,0015,17,京都,日,1,3連単,11→08→01,300,―,―,0
20240421,0015,18,京都,日,1,3連単,11→08→05,1000,―,―,0
20240421,0015,19,京都,日,1,3連単,11→08→06,300,―,―,0
20240421,0015,20,京都,日,1,3連単,11→08→07,300,―,―,0
20240421,0016,01,東京,日,1,ワイド,03―09,1000,―,―,0
20240421,0016,02,東京,日,1,ワイド,03―11,1000,―,―,0
20240421,0016,03,東京,日,1,ワイド,03―14,1000,―,―,0
20240421,0016,04,東京,日,1,ワイド,08―09,1000,―,―,0
20240421,0016,05,東京,日,1,ワイド,08―11,1000,―,―,0
20240421,0016,06,東京,日,1,ワイド,08―14,1000,―,―,0
20240421,0016,07,東京,日,1,3連複,03―04―08,300,―,―,0
20240421,0016,08,東京,日,1,3連複,03―04―09,300,―,―,0
20240421,0016,09,東京,日,1,3連複,03―04―11,300,―,―,0
20240421,0016,10,東京,日,1,3連複,03―04―14,300,―,―,0
20240421,0016,11,東京,日,1,3連複,03―08―09,300,―,―,0
20240421,0016,12,東京,日,1,3連複,03―08―11,500,―,―,0
20240421,0016,13,東京,日,1,3連複,03―08―14,500,―,―,0
20240421,0016,14,東京,日,1,3連複,03―09―11,500,―,―,0
20240421,0016,15,東京,日,1,3連複,03―09―14,500,―,―,0
