日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240511,0001,01,東京,土,1,3連複,02―07―16,500,―,―,0
20240511,0001,02,東京,土,1,3連複,02―09―16,500,―,―,0
20240511,0001,03,東京,土,1,3連複,02―13―16,500,―,―,0
20240511,0001,04,東京,土,1,3連複,02―14―16,500,―,―,0
20240511,0001,05,東京,土,1,3連複,07―09―16,700,―,―,0
20240511,0001,06,東京,土,1,3連複,07―13―16,700,―,―,0
20240511,0001,07,東京,土,1,3連複,07―14―16,700,―,―,0
20240511,0001,08,東京,土,1,3連複,09―13―16,1500,―,―,0
20240511,0001,09,東京,土,1,3連複,09―14―16,1500,―,―,0
20240511,0001,10,東京,土,1,3連複,13―14―16,1000,的中13―14―16,1250,12500
20240511,0001,11,東京,土,1,馬単,09→16,500,―,―,0
20240511,0001,12,東京,土,1,馬単,13→16,500,―,―,0
20240511,0002,01,東京,土,1,3連単,09→16→02,100,―,―,0
20240511,0002,02,東京,土,1,3連単,09→16→07,100,―,―,0
20240511,0002,03,東京,土,1,3連単,09→16→13,100,―,―,0
20240511,0002,04,東京,土,1,3連単,09→16→14,100,―,―,0
20240511,0002,05,東京,土,1,3連単,13→16→02,100,―,―,0
20240511,0002,06,東京,土,1,3連単,13→16→07,100,―,―,0
20240511,0002,07,東京,土,1,3連単,13→16→09,100,―,―,0
20240511,0002,08,東京,土,1,3連単,13→16→14,100,―,―,0
20240511,0003,01,京都,土,2,3連複,01―04―07,500,―,―,0
20240511,0003,02,京都,土,2,3連複,01―04―11,500,―,―,0
20240511,0003,03,京都,土,2,3連複,01―04―13,500,―,―,0
20240511,0003,04,京都,土,2,3連複,01―04―14,500,―,―,0
20240511,0003,05,京都,土,2,3連複,04―07―11,500,―,―,0
20240511,0003,06,京都,土,2,3連複,04―07―13,500,―,―,0
20240511,0003,07,京都,土,2,3連複,04―07―14,500,―,―,0
20240511,0003,08,京都,土,2,3連複,04―11―13,500,―,―,0
20240511,0003,09,京都,土,2,3連複,04―11―14,500,―,―,0
20240511,0003,10,京都,土,2,3連複,04―13―14,500,的中04―13―14,1090,5450
20240511,0003,11,京都,土,2,ワイド,04―11,2000,―,―,0
20240511,0004,01,東京,土,2,3連複,02―06―08,500,―,―,0
20240511,0004,02,東京,土,2,3連複,02―06―09,300,―,―,0
20240511,0004,03,東京,土,2,3連複,02―06―10,500,―,―,0
20240511,0004,04,東京,土,2,3連複,02―06―11,1000,―,―,0
20240511,0004,05,東京,土,2,3連複,06―08―09,300,―,―,0
20240511,0004,06,東京,土,2,3連複,06―08―10,500,―,―,0
20240511,0004,07,東京,土,2,3連複,06―08―11,1000,―,―,0
20240511,0004,08,東京,土,2,3連複,06―09―10,300,―,―,0
20240511,0004,09,東京,土,2,3連複,06―09―11,300,―,―,0
20240511,0004,10,東京,土,2,3連複,06―10―11,1000,―,―,0
20240511,0005,01,京都,土,3,ワイド,03―08,1000,―,―,0
20240511,0005,02,京都,土,3,ワイド,03―10,1000,―,―,0
20240511,0005,03,京都,土,3,ワイド,08―12,1000,的中08―12,640,6400
20240511,0005,04,京都,土,3,ワイド,10―12,1000,―,―,0
20240511,0005,05,京都,土,3,3連複,03―06―08,500,―,―,0
20240511,0005,06,京都,土,3,3連複,03―06―10,500,―,―,0
20240511,0005,07,京都,土,3,3連複,03―06―11,500,―,―,0
20240511,0005,08,京都,土,3,3連複,03―06―12,1000,―,―,0
20240511,0005,09,京都,土,3,3連複,03―08―10,500,―,―,0
20240511,0005,10,京都,土,3,3連複,03―08―11,500,―,―,0
20240511,0005,11,京都,土,3,3連複,03―08―12,500,―,―,0
20240511,0005,12,京都,土,3,3連複,03―10―11,1000,―,―,0
20240511,0005,13,京都,土,3,3連複,03―10―12,500,―,―,0
20240511,0005,14,京都,土,3,3連複,03―11―12,500,―,―,0
20240511,0006,01,東京,土,3,3連複,01―04―15,1000,―,―,0
20240511,0006,02,東京,土,3,3連複,01―05―15,1000,―,―,0
20240511,0006,03,東京,土,3,3連複,01―11―15,1000,―,―,0
20240511,0006,04,東京,土,3,3連複,01―12―15,1000,―,―,0
20240511,0006,05,東京,土,3,3連複,04―05―15,500,―,―,0
20240511,0006,06,東京,土,3,3連複,04―11―15,500,―,―,0
20240511,0006,07,東京,土,3,3連複,04―12―15,500,―,―,0
20240511,0006,08,東京,土,3,3連複,05―11―15,500,―,―,0
20240511,0006,09,東京,土,3,3連複,05―12―15,500,―,―,0
20240511,0006,10,東京,土,3,3連複,11―12―15,500,―,―,0
20240511,0007,01,京都,土,4,馬単,14→07,300,―,―,0
20240511,0007,02,京都,土,4,馬単,14→09,300,―,―,0
20240511,0007,03,京都,土,4,馬単,14→12,800,―,―,0
20240511,0007,04,京都,土,4,馬単,14→17,1200,―,―,0
20240511,0007,05,京都,土,4,3連複,07―09―14,500,―,―,0
20240511,0007,06,京都,土,4,3連複,07―12―14,500,―,―,0
20240511,0007,07,京都,土,4,3連複,07―13―14,1500,―,―,0
20240511,0007,08,京都,土,4,3連複,07―14―17,500,―,―,0
20240511,0007,09,京都,土,4,3連複,09―12―14,500,―,―,0
20240511,0007,10,京都,土,4,3連複,09―13―14,1500,―,―,0
20240511,0007,11,京都,土,4,3連複,09―14―17,500,―,―,0
20240511,0007,12,京都,土,4,3連複,12―13―14,500,―,―,0
20240511,0007,13,京都,土,4,3連複,12―14―17,800,―,―,0
20240511,0007,14,京都,土,4,3連複,13―14―17,500,―,―,0
20240511,0008,01,東京,土,4,3連複,03―07―08,300,―,―,0
20240511,0008,02,東京,土,4,3連複,03―07―12,1000,―,―,0
20240511,0008,03,東京,土,4,3連複,03―07―13,300,―,―,0
20240511,0008,04,東京,土,4,3連複,03―07―16,1000,―,―,0
20240511,0008,05,東京,土,4,3連複,07―08―12,300,―,―,0
20240511,0008,06,東京,土,4,3連複,07―08―13,300,―,―,0
20240511,0008,07,東京,土,4,3連複,07―08―16,300,―,―,0
20240511,0008,08,東京,土,4,3連複,07―12―13,300,―,―,0
20240511,0008,09,東京,土,4,3連複,07―12―16,1000,―,―,0
20240511,0008,10,東京,土,4,3連複,07―13―16,1000,―,―,0
20240511,0008,11,東京,土,4,ワイド,03―07,1000,―,―,0
20240511,0008,12,東京,土,4,ワイド,07―13,1000,―,―,0
20240511,0009,01,東京,土,11,単勝,13,1000,―,―,0
20240511,0009,02,東京,土,11,単勝,15,3000,的中15,370,11100
20240511,0009,03,東京,土,11,馬連,03―15,1000,―,―,0
20240511,0009,04,東京,土,11,馬連,04―15,1000,的中04―15,840,8400
20240511,0009,05,東京,土,11,馬連,07―15,1000,―,―,0
20240511,0009,06,東京,土,11,馬連,08―15,1000,―,―,0
20240511,0009,07,東京,土,11,馬連,09―15,2000,―,―,0
20240511,0009,08,東京,土,11,馬連,13―15,2000,―,―,0
20240511,0009,09,東京,土,11,ワイド,03―13,500,―,―,0
20240511,0009,10,東京,土,11,ワイド,07―13,500,―,―,0
20240511,0009,11,東京,土,11,ワイド,08―13,500,―,―,0
20240511,0009,12,東京,土,11,ワイド,09―13,500,―,―,0
20240511,0009,13,東京,土,11,ワイド,13―15,3000,―,―,0
,,合計,,,,,,74300,,,43850
