日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240407,0007,01,阪神,日,1,3連複,06―07―15,500,―,―,0
20240407,0007,02,阪神,日,1,3連複,06―08―15,1000,―,―,0
20240407,0007,03,阪神,日,1,3連複,06―10―15,1000,―,―,0
20240407,0007,04,阪神,日,1,3連複,06―12―15,1000,―,―,0
20240407,0007,05,阪神,日,1,単勝,06,2000,―,―,0
20240407,0007,06,阪神,日,1,馬連,06―15,1500,―,―,0
20240407,0008,01,阪神,日,2,3連複,02―05―06,500,―,―,0
20240407,0008,02,阪神,日,2,3連複,02―05―10,500,―,―,0
20240407,0008,03,阪神,日,2,3連複,02―05―13,500,―,―,0
20240407,0008,04,阪神,日,2,3連複,02―05―16,500,―,―,0
20240407,0008,05,阪神,日,2,3連複,02―06―10,500,―,―,0
20240407,0008,06,阪神,日,2,3連複,02―06―13,500,―,―,0
20240407,0008,07,阪神,日,2,3連複,02―06―16,500,―,―,0
20240407,0008,08,阪神,日,2,3連複,02―10―13,500,―,―,0
20240407,0008,09,阪神,日,2,3連複,02―10―16,500,―,―,0
20240407,0008,10,阪神,日,2,3連複,02―13―16,500,―,―,0
20240407,0008,11,阪神,日,2,馬連,02―06,1000,―,―,0
20240407,0008,12,阪神,日,2,馬連,02―13,1000,―,―,0
20240407,0008,13,阪神,日,2,馬連,02―16,1000,―,―,0
20240407,0009,01,中山,日,3,3連単,05→04→03,400,―,―,0
20240407,0009,02,中山,日,3,3連単,05→04→09,400,―,―,0
20240407,0009,03,中山,日,3,3連単,05→04→12,400,―,―,0
20240407,0009,04,中山,日,3,3連単,05→04→15,400,―,―,0
20240407,0009,05,中山,日,3,3連単,05→09→03,400,―,―,0
20240407,0009,06,中山,日,3,3連単,05→09→04,400,―,―,0
20240407,0009,07,中山,日,3,3連単,05→09→12,400,―,―,0
20240407,0009,08,中山,日,3,3連単,05→09→15,400,―,―,0
20240407,0009,09,中山,日,3,3連単,05→12→03,400,―,―,0
20240407,0009,10,中山,日,3,3連単,05→12→04,400,―,―,0
20240407,0009,11,中山,日,3,3連単,05→12→09,400,―,―,0
20240407,0009,12,中山,日,3,3連単,05→12→15,400,―,―,0
20240407,0009,13,中山,日,3,3連単,05→15→03,400,―,―,0
20240407,0009,14,中山,日,3,3連単,05→15→04,400,的中05→15→04,6560,26240
20240407,0009,15,中山,日,3,3連単,05→15→09,400,―,―,0
20240407,0009,16,中山,日,3,3連単,05→15→12,400,―,―,0
20240407,0009,17,中山,日,3,馬単,05→12,1500,―,―,0
20240407,0009,18,中山,日,3,馬単,05→15,2000,的中05→15,760,15200
20240407,0010,01,阪神,日,3,馬連,05―13,1500,―,―,0
20240407,0010,02,阪神,日,3,馬連,05―16,2500,―,―,0
20240407,0010,03,阪神,日,3,3連単,05→13→03,500,―,―,0
20240407,0010,04,阪神,日,3,3連単,05→13→10,500,―,―,0
20240407,0010,05,阪神,日,3,3連単,05→13→12,500,―,―,0
20240407,0010,06,阪神,日,3,3連単,05→13→16,500,―,―,0
20240407,0010,07,阪神,日,3,3連単,05→16→03,500,―,―,0
20240407,0010,08,阪神,日,3,3連単,05→16→10,500,―,―,0
20240407,0010,09,阪神,日,3,3連単,05→16→12,500,―,―,0
20240407,0010,10,阪神,日,3,3連単,05→16→13,500,―,―,0
20240407,0011,01,中山,日,6,3連複,03―04―13,100,―,―,0
20240407,0011,02,中山,日,6,3連複,03―06―13,100,―,―,0
20240407,0011,03,中山,日,6,3連複,03―07―13,100,―,―,0
20240407,0011,04,中山,日,6,3連複,03―13―16,100,―,―,0
20240407,0011,05,中山,日,6,3連複,04―06―13,1500,―,―,0
20240407,0011,06,中山,日,6,3連複,04―07―13,1500,―,―,0
20240407,0011,07,中山,日,6,3連複,04―13―16,500,的中04―13―16,2030,10150
20240407,0011,08,中山,日,6,3連複,06―07―13,500,―,―,0
20240407,0011,09,中山,日,6,3連複,06―13―16,500,―,―,0
20240407,0011,10,中山,日,6,3連複,07―13―16,500,―,―,0
20240407,0012,01,阪神,日,9,馬単,04→01,1000,―,―,0
20240407,0012,02,阪神,日,9,馬単,04→02,2500,―,―,0
20240407,0012,03,阪神,日,9,馬単,04→03,1000,―,―,0
20240407,0012,04,阪神,日,9,馬単,04→06,1000,―,―,0
