日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240525,0001,01,京都,土,1,3連複,01―06―07,2000,―,―,0
20240525,0001,02,京都,土,1,3連複,01―07―09,1000,―,―,0
20240525,0001,03,京都,土,1,3連複,01―07―16,1000,的中01―07―16,720,7200
20240525,0001,04,京都,土,1,3連単,07→01→06,500,―,―,0
20240525,0001,05,京都,土,1,3連単,07→06→01,500,―,―,0
20240525,0002,01,東京,土,1,3連複,03―09―16,2000,―,―,0
20240525,0002,02,東京,土,1,3連複,06―09―16,2000,―,―,0
20240525,0002,03,東京,土,1,3連複,07―09―16,1000,―,―,0
20240525,0002,04,東京,土,1,3連複,09―12―16,1000,―,―,0
20240525,0002,05,東京,土,1,3連単,16→07→03,200,―,―,0
20240525,0002,06,東京,土,1,3連単,16→07→06,200,―,―,0
20240525,0002,07,東京,土,1,3連単,16→07→09,500,―,―,0
20240525,0002,08,東京,土,1,3連単,16→07→12,200,―,―,0
20240525,0002,09,東京,土,1,3連単,16→09→03,500,―,―,0
20240525,0002,10,東京,土,1,3連単,16→09→06,500,―,―,0
20240525,0002,11,東京,土,1,3連単,16→09→07,500,―,―,0
20240525,0002,12,東京,土,1,3連単,16→09→12,500,―,―,0
20240525,0003,01,京都,土,2,3連複,05―06―09,300,―,―,0
20240525,0003,02,京都,土,2,3連複,05―06―13,300,―,―,0
20240525,0003,03,京都,土,2,3連複,05―09―13,300,―,―,0
20240525,0003,04,京都,土,2,3連複,06―09―13,300,―,―,0
20240525,0003,05,京都,土,2,ワイド,09―13,2000,的中09―13,1050,21000
20240525,0003,06,京都,土,2,馬連,05―09,500,―,―,0
20240525,0003,07,京都,土,2,馬連,06―09,500,―,―,0
20240525,0003,08,京都,土,2,馬連,09―13,500,的中09―13,2890,14450
20240525,0004,01,東京,土,2,3連単,07→08→01,500,―,―,0
20240525,0004,02,東京,土,2,3連単,07→08→09,500,―,―,0
20240525,0004,03,東京,土,2,3連単,09→08→01,500,―,―,0
20240525,0004,04,東京,土,2,3連単,09→08→07,500,―,―,0
20240525,0005,01,京都,土,3,馬連,05―09,1000,―,―,0
20240525,0005,02,京都,土,3,馬連,06―09,1000,―,―,0
20240525,0005,03,京都,土,3,馬連,09―16,1000,的中09―16,1310,13100
20240525,0005,04,京都,土,3,単勝,09,1000,的中09,600,6000
20240525,0006,01,東京,土,3,3連複,05―15―16,1500,―,―,0
20240525,0006,02,東京,土,3,3連複,07―15―16,1000,―,―,0
20240525,0006,03,東京,土,3,3連複,09―15―16,500,―,―,0
20240525,0006,04,東京,土,3,3連複,12―15―16,1000,―,―,0
20240525,0006,05,東京,土,3,馬連,15―16,1000,―,―,0
20240525,0007,01,京都,土,4,3連複,01―02―05,1500,―,―,0
20240525,0007,02,京都,土,4,3連複,01―03―05,500,―,―,0
20240525,0007,03,京都,土,4,3連複,02―03―05,1500,―,―,0
20240525,0007,04,京都,土,4,馬連,02―05,1000,―,―,0
20240525,0007,05,京都,土,4,ワイド,02―05,2500,―,―,0
20240525,0008,01,京都,土,5,3連複,07―08―15,500,―,―,0
20240525,0008,02,京都,土,5,3連複,07―08―17,500,―,―,0
20240525,0008,03,京都,土,5,3連複,08―09―15,500,―,―,0
20240525,0008,04,京都,土,5,3連複,08―09―17,500,―,―,0
20240525,0008,05,京都,土,5,3連複,08―15―16,500,―,―,0
20240525,0008,06,京都,土,5,3連複,08―15―17,500,―,―,0
20240525,0008,07,京都,土,5,3連複,08―16―17,500,―,―,0
20240525,0008,08,京都,土,5,ワイド,08―15,1000,―,―,0
20240525,0008,09,京都,土,5,ワイド,15―17,1000,―,―,0
20240525,0009,01,東京,土,5,3連単,03→09→05,1500,―,―,0
20240525,0009,02,東京,土,5,3連単,03→09→07,1500,―,―,0
20240525,0009,03,東京,土,5,3連単,03→09→08,1500,―,―,0
20240525,0009,04,東京,土,5,3連単,03→09→11,1500,―,―,0
20240525,0009,05,東京,土,5,3連単,09→03→05,1000,―,―,0
20240525,0009,06,東京,土,5,3連単,09→03→07,1000,―,―,0
20240525,0009,07,東京,土,5,3連単,09→03→08,1000,―,―,0
20240525,0009,08,東京,土,5,3連単,09→03→11,1000,―,―,0
20240525,0010,01,京都,土,6,単勝,05,2000,―,―,0
20240525,0010,02,京都,土,6,馬連,05―12,500,―,―,0
20240525,0010,03,京都,土,6,馬連,05―16,500,―,―,0
20240525,0011,01,東京,土,6,ワイド,01―09,4000,―,―,0
20240525,0011,02,東京,土,6,ワイド,01―11,1000,―,―,0
20240525,0011,03,東京,土,6,ワイド,01―12,5000,―,―,0
20240525,0012,01,京都,土,7,馬単,06→01,500,―,―,0
20240525,0012,02,京都,土,7,馬単,06→03,100,―,―,0
20240525,0012,03,京都,土,7,馬単,06→04,500,―,―,0
20240525,0012,04,京都,土,7,馬単,06→05,1500,―,―,0
20240525,0012,05,京都,土,7,馬単,06→08,500,―,―,0
20240525,0012,06,京都,土,7,馬単,06→10,100,―,―,0
20240525,0012,07,京都,土,7,馬単,06→11,100,―,―,0
20240525,0012,08,京都,土,7,3連単,06→05→01,100,―,―,0
20240525,0012,09,京都,土,7,3連単,06→05→02,100,―,―,0
20240525,0012,10,京都,土,7,3連単,06→05→03,100,―,―,0
20240525,0012,11,京都,土,7,3連単,06→05→04,100,―,―,0
20240525,0012,12,京都,土,7,3連単,06→05→07,100,―,―,0
20240525,0012,13,京都,土,7,3連単,06→05→08,100,―,―,0
20240525,0012,14,京都,土,7,3連単,06→05→09,100,―,―,0
20240525,0012,15,京都,土,7,3連単,06→05→10,100,―,―,0
20240525,0012,16,京都,土,7,3連単,06→05→11,100,―,―,0
20240525,0013,01,東京,土,7,3連複,02―06―07,100,―,―,0
20240525,0013,02,東京,土,7,3連複,02―06―10,100,―,―,0
20240525,0013,03,東京,土,7,3連複,02―06―11,100,―,―,0
20240525,0013,04,東京,土,7,3連複,02―06―12,100,―,―,0
