日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240217,0001,01,京都,土,1,馬単,12→04,500,―,―,0
20240217,0001,02,京都,土,1,馬単,12→06,3000,―,―,0
20240217,0001,03,京都,土,1,馬単,12→07,2000,―,―,0
20240217,0001,04,京都,土,1,馬単,12→11,2500,―,―,0
20240217,0001,05,京都,土,1,馬単,12→14,3000,―,―,0
20240217,0001,06,京都,土,1,3連単,12→11→06,500,―,―,0
20240217,0001,07,京都,土,1,3連単,12→14→06,800,―,―,0
20240217,0002,01,東京,土,2,単勝,05,1000,―,―,0
20240217,0002,02,東京,土,2,単勝,09,1000,―,―,0
20240217,0002,03,東京,土,2,馬連,05―07,500,―,―,0
20240217,0002,04,東京,土,2,馬連,05―09,500,―,―,0
20240217,0002,05,東京,土,2,馬連,07―09,500,―,―,0
20240217,0003,01,東京,土,3,馬連,09―12,1000,―,―,0
20240217,0003,02,東京,土,3,馬連,12―15,1000,―,―,0
20240217,0003,03,東京,土,3,馬単,03→12,100,―,―,0
20240217,0003,04,東京,土,3,馬単,09→12,500,―,―,0
20240217,0003,05,東京,土,3,馬単,10→12,200,―,―,0
20240217,0003,06,東京,土,3,馬単,15→12,500,―,―,0
20240217,0003,07,東京,土,3,馬単,16→12,200,―,―,0
20240217,0003,08,東京,土,3,ワイド,12―15,2000,的中12―15,300,6000
20240217,0003,09,東京,土,3,単勝,15,500,―,―,0
20240217,0004,01,東京,土,6,馬単,03→10,300,―,―,0
20240217,0004,02,東京,土,6,馬単,03→14,3500,―,―,0
20240217,0004,03,東京,土,6,3連単,03→01→08,500,―,―,0
20240217,0004,04,東京,土,6,3連単,03→01→10,500,―,―,0
20240217,0004,05,東京,土,6,3連単,03→01→14,2500,―,―,0
20240217,0004,06,東京,土,6,3連単,03→10→01,100,―,―,0
20240217,0004,07,東京,土,6,3連単,03→10→08,100,―,―,0
20240217,0004,08,東京,土,6,3連単,03→10→14,100,―,―,0
20240217,0004,09,東京,土,6,3連単,03→14→01,2500,―,―,0
20240217,0004,10,東京,土,6,3連単,03→14→08,500,―,―,0
20240217,0004,11,東京,土,6,3連単,03→14→10,500,―,―,0
20240217,0004,12,東京,土,6,馬単,01→03,800,―,―,0
20240217,0004,13,東京,土,6,馬単,14→03,300,―,―,0
20240217,0005,01,小倉,土,7,単勝,11,2000,的中11,300,6000
20240217,0006,01,東京,土,8,馬連,05―08,3000,―,―,0
20240217,0006,02,東京,土,8,ワイド,05―08,10000,―,―,0
20240217,0007,01,東京,土,9,ワイド,02―04,2000,―,―,0
20240217,0007,02,東京,土,9,ワイド,04―09,1000,―,―,0
20240217,0008,01,京都,土,11,馬連,04―10,500,―,―,0
20240217,0008,02,京都,土,11,馬連,04―14,200,―,―,0
20240217,0008,03,京都,土,11,馬連,04―15,1000,―,―,0
20240217,0008,04,京都,土,11,馬連,10―14,200,―,―,0
20240217,0008,05,京都,土,11,馬連,10―15,1000,―,―,0
20240217,0008,06,京都,土,11,馬連,14―15,700,―,―,0
20240217,0008,07,京都,土,11,ワイド,04―10,2000,―,―,0
20240217,0008,08,京都,土,11,ワイド,04―15,2000,―,―,0
20240217,0008,09,京都,土,11,ワイド,10―15,1000,―,―,0
20240217,0008,10,京都,土,11,3連複,04―10―14,100,―,―,0
20240217,0008,11,京都,土,11,3連複,04―10―15,100,―,―,0
20240217,0008,12,京都,土,11,3連複,04―14―15,100,―,―,0
20240217,0008,13,京都,土,11,3連複,10―14―15,100,―,―,0
20240217,0008,14,京都,土,11,単勝,04,1000,―,―,0
20240217,0009,01,東京,土,11,馬連,06―09,3000,―,―,0
20240217,0009,02,東京,土,11,ワイド,06―09,7000,―,―,0
,,合計,,,,,,72000,,,12000
