日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240229,0001,01,名古屋,木,10,3連単,12→02→04,300,―,―,0
20240229,0001,02,名古屋,木,10,3連単,12→02→08,300,―,―,0
20240229,0001,03,名古屋,木,10,3連単,12→02→11,300,―,―,0
20240229,0001,04,名古屋,木,10,3連単,12→04→02,1000,―,―,0
20240229,0001,05,名古屋,木,10,3連単,12→04→08,1000,―,―,0
20240229,0001,06,名古屋,木,10,3連単,12→04→11,1000,―,―,0
20240229,0001,07,名古屋,木,10,3連単,12→08→02,500,―,―,0
20240229,0001,08,名古屋,木,10,3連単,12→08→04,500,―,―,0
20240229,0001,09,名古屋,木,10,3連単,12→08→11,500,―,―,0
20240229,0001,10,名古屋,木,10,3連単,12→11→02,300,―,―,0
20240229,0001,11,名古屋,木,10,3連単,12→11→04,300,―,―,0
20240229,0001,12,名古屋,木,10,3連単,12→11→08,300,―,―,0
20240229,0001,13,名古屋,木,10,3連単,02→12→04,200,―,―,0
20240229,0001,14,名古屋,木,10,3連単,02→12→08,200,―,―,0
20240229,0001,15,名古屋,木,10,3連単,02→12→11,200,―,―,0
20240229,0001,16,名古屋,木,10,3連単,04→12→02,500,―,―,0
20240229,0001,17,名古屋,木,10,3連単,04→12→08,500,―,―,0
20240229,0001,18,名古屋,木,10,3連単,04→12→11,600,―,―,0
20240229,0001,19,名古屋,木,10,3連単,08→12→02,200,―,―,0
20240229,0001,20,名古屋,木,10,3連単,08→12→04,200,―,―,0
20240229,0001,21,名古屋,木,10,3連単,08→12→11,200,―,―,0
20240229,0001,22,名古屋,木,10,3連単,11→12→02,300,―,―,0
20240229,0001,23,名古屋,木,10,3連単,11→12→04,300,―,―,0
20240229,0001,24,名古屋,木,10,3連単,11→12→08,300,―,―,0
,,合計,,,,,,10000,,,0
