日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240413,0001,01,福島,土,1,3連複,05―07―08,1000,―,―,0
20240413,0001,02,福島,土,1,3連複,05―07―14,500,―,―,0
20240413,0001,03,福島,土,1,3連複,05―08―12,500,―,―,0
20240413,0001,04,福島,土,1,3連複,05―08―14,1000,―,―,0
20240413,0002,01,福島,土,2,3連複,01―04―07,500,―,―,0
20240413,0002,02,福島,土,2,3連複,01―05―07,500,―,―,0
20240413,0002,03,福島,土,2,3連複,01―07―10,100,―,―,0
20240413,0002,04,福島,土,2,3連複,01―07―16,100,―,―,0
20240413,0002,05,福島,土,2,3連複,04―05―07,500,―,―,0
20240413,0002,06,福島,土,2,3連複,04―07―10,500,―,―,0
20240413,0002,07,福島,土,2,3連複,04―07―16,100,―,―,0
20240413,0002,08,福島,土,2,3連複,05―07―10,500,―,―,0
20240413,0002,09,福島,土,2,3連複,05―07―16,100,―,―,0
20240413,0002,10,福島,土,2,3連複,07―10―16,100,―,―,0
20240413,0003,01,阪神,土,2,3連複,01―09―13,500,的中01―09―13,1120,5600
20240413,0003,02,阪神,土,2,3連複,09―11―13,500,―,―,0
20240413,0004,01,中山,土,2,単勝,11,1000,的中11,450,4500
20240413,0004,02,中山,土,2,馬連,01―11,300,―,―,0
20240413,0004,03,中山,土,2,馬連,04―11,300,―,―,0
20240413,0004,04,中山,土,2,馬連,05―11,300,―,―,0
20240413,0004,05,中山,土,2,3連複,05―11―12,300,的中05―11―12,700,2100
20240413,0005,01,福島,土,3,3連単,02→10→06,500,―,―,0
20240413,0005,02,福島,土,3,3連単,02→10→07,500,的中02→10→07,1150,5750
20240413,0005,03,福島,土,3,3連単,02→10→11,500,―,―,0
20240413,0005,04,福島,土,3,3連単,02→10→13,500,―,―,0
20240413,0005,05,福島,土,3,3連単,02→13→06,500,―,―,0
20240413,0005,06,福島,土,3,3連単,02→13→07,500,―,―,0
20240413,0005,07,福島,土,3,3連単,02→13→10,500,―,―,0
20240413,0005,08,福島,土,3,3連単,02→13→11,500,―,―,0
20240413,0005,09,福島,土,3,馬単,02→10,2000,的中02→10,380,7600
20240413,0005,10,福島,土,3,馬単,02→13,1000,―,―,0
20240413,0006,01,中山,土,3,3連複,01―10―13,1000,―,―,0
20240413,0006,02,中山,土,3,3連複,06―10―13,1000,―,―,0
20240413,0006,03,中山,土,3,3連複,07―10―13,1000,―,―,0
20240413,0006,04,中山,土,3,3連複,10―11―13,1000,―,―,0
20240413,0007,01,福島,土,4,3連複,04―08―12,1000,―,―,0
20240413,0007,02,福島,土,4,3連複,05―12―14,500,―,―,0
20240413,0008,01,阪神,土,4,3連複,01―04―06,1000,―,―,0
20240413,0008,02,阪神,土,4,3連複,01―05―06,1000,―,―,0
20240413,0008,03,阪神,土,4,3連複,01―06―07,1000,―,―,0
20240413,0008,04,阪神,土,4,3連複,01―06―18,1000,―,―,0
20240413,0008,05,阪神,土,4,3連複,04―05―06,500,―,―,0
20240413,0008,06,阪神,土,4,3連複,04―06―07,500,―,―,0
20240413,0008,07,阪神,土,4,3連複,04―06―18,500,―,―,0
20240413,0008,08,阪神,土,4,3連複,05―06―07,500,―,―,0
20240413,0008,09,阪神,土,4,3連複,05―06―18,500,―,―,0
20240413,0008,10,阪神,土,4,3連複,06―07―18,500,―,―,0
20240413,0009,01,阪神,土,4,単勝,01,1000,―,―,0
20240413,0010,01,中山,土,4,単勝,02,1500,―,―,0
20240413,0010,02,中山,土,4,馬単,02→05,1000,―,―,0
20240413,0010,03,中山,土,4,馬単,02→07,1000,―,―,0
20240413,0010,04,中山,土,4,馬単,02→08,500,―,―,0
20240413,0010,05,中山,土,4,ワイド,02―07,1000,的中02―07,500,5000
20240413,0010,06,中山,土,4,ワイド,02―08,100,―,―,0
20240413,0011,01,福島,土,5,3連単,06→04→02,500,―,―,0
20240413,0011,02,福島,土,5,3連単,06→04→08,500,的中06→04→08,4830,24150
20240413,0011,03,福島,土,5,3連単,06→04→11,500,―,―,0
20240413,0011,04,福島,土,5,3連単,06→04→14,500,―,―,0
20240413,0011,05,福島,土,5,3連単,06→08→02,500,―,―,0
20240413,0011,06,福島,土,5,3連単,06→08→04,1000,―,―,0
20240413,0011,07,福島,土,5,3連単,06→08→11,500,―,―,0
20240413,0011,08,福島,土,5,3連単,06→08→14,1000,―,―,0
20240413,0011,09,福島,土,5,3連単,06→14→02,500,―,―,0
20240413,0011,10,福島,土,5,3連単,06→14→04,1000,―,―,0
20240413,0011,11,福島,土,5,3連単,06→14→08,1000,―,―,0
20240413,0011,12,福島,土,5,3連単,06→14→11,500,―,―,0
20240413,0011,13,福島,土,5,馬単,06→14,2000,―,―,0
20240413,0012,01,中山,土,5,3連複,02―04―05,800,―,―,0
20240413,0012,02,中山,土,5,3連複,02―04―07,300,―,―,0
20240413,0012,03,中山,土,5,3連複,02―04―08,800,―,―,0
20240413,0012,04,中山,土,5,3連複,02―04―10,300,―,―,0
20240413,0012,05,中山,土,5,3連複,02―05―07,300,―,―,0
20240413,0012,06,中山,土,5,3連複,02―05―08,300,―,―,0
20240413,0012,07,中山,土,5,3連複,02―05―10,800,―,―,0
20240413,0012,08,中山,土,5,3連複,02―07―08,800,―,―,0
20240413,0012,09,中山,土,5,3連複,02―07―10,300,―,―,0
20240413,0012,10,中山,土,5,3連複,02―08―10,800,―,―,0
20240413,0013,01,阪神,土,6,3連複,02―04―13,1000,―,―,0
20240413,0013,02,阪神,土,6,3連複,02―11―13,1000,―,―,0
20240413,0013,03,阪神,土,6,3連複,04―11―13,1000,―,―,0
20240413,0014,01,中山,土,6,3連単,06→05→02,200,―,―,0
20240413,0014,02,中山,土,6,3連単,06→05→03,200,―,―,0
20240413,0014,03,中山,土,6,3連単,06→05→04,200,―,―,0
20240413,0014,04,中山,土,6,3連単,06→05→07,200,―,―,0
20240413,0014,05,中山,土,6,3連単,06→05→08,200,―,―,0
20240413,0014,06,中山,土,6,3連単,06→05→09,200,―,―,0
20240413,0014,07,中山,土,6,3連単,09→05→02,200,―,―,0
20240413,0014,08,中山,土,6,3連単,09→05→03,200,―,―,0
20240413,0014,09,中山,土,6,3連単,09→05→04,200,―,―,0
20240413,0014,10,中山,土,6,3連単,09→05→06,200,―,―,0
20240413,0014,11,中山,土,6,3連単,09→05→07,200,―,―,0
20240413,0014,12,中山,土,6,3連単,09→05→08,200,―,―,0
20240413,0015,01,中山,土,8,3連複,01―03―05,500,―,―,0
20240413,0015,02,中山,土,8,3連複,02―03―05,1000,―,―,0
20240413,0015,03,中山,土,8,3連複,03―04―05,1500,―,―,0
20240413,0016,01,阪神,土,10,3連複,09―13―14,3000,―,―,0
20240413,0017,01,中山,土,10,3連複,02―03―05,100,―,―,0
20240413,0017,02,中山,土,10,3連複,02―03―08,100,―,―,0
20240413,0017,03,中山,土,10,3連複,02―03―14,100,―,―,0
20240413,0017,04,中山,土,10,3連複,02―05―08,100,―,―,0
20240413,0017,05,中山,土,10,3連複,02―05―14,100,―,―,0
20240413,0017,06,中山,土,10,3連複,02―08―14,100,―,―,0
20240413,0017,07,中山,土,10,3連複,02―09―14,100,―,―,0
20240413,0018,01,福島,土,11,ワイド,01―02,1000,―,―,0
20240413,0018,02,福島,土,11,ワイド,02―04,1000,―,―,0
20240413,0018,03,福島,土,11,ワイド,02―16,1000,―,―,0
20240413,0018,04,福島,土,11,馬単,02→01,500,―,―,0
20240413,0018,05,福島,土,11,馬単,02→03,1000,―,―,0
20240413,0018,06,福島,土,11,馬単,02→04,500,―,―,0
20240413,0018,07,福島,土,11,馬単,02→05,500,―,―,0
20240413,0018,08,福島,土,11,馬単,02→16,500,―,―,0
20240413,0019,01,阪神,土,11,3連複,03―05―08,500,―,―,0
20240413,0019,02,阪神,土,11,3連複,03―05―13,500,―,―,0
20240413,0019,03,阪神,土,11,3連複,03―05―15,500,―,―,0
20240413,0019,04,阪神,土,11,3連複,03―05―16,500,―,―,0
20240413,0019,05,阪神,土,11,3連複,03―08―13,500,―,―,0
20240413,0019,06,阪神,土,11,3連複,03―08―15,500,―,―,0
20240413,0019,07,阪神,土,11,3連複,03―08―16,100,―,―,0
20240413,0019,08,阪神,土,11,3連複,03―13―15,800,―,―,0
20240413,0019,09,阪神,土,11,3連複,03―13―16,500,―,―,0
20240413,0019,10,阪神,土,11,3連複,03―15―16,500,―,―,0
20240413,0019,11,阪神,土,11,3連複,03―05―08,500,―,―,0
20240413,0019,12,阪神,土,11,3連複,03―05―13,800,―,―,0
20240413,0019,13,阪神,土,11,3連複,03―05―15,1000,―,―,0
20240413,0019,14,阪神,土,11,3連複,03―05―16,500,―,―,0
20240413,0019,15,阪神,土,11,3連複,05―08―13,500,―,―,0
20240413,0019,16,阪神,土,11,3連複,05―08―15,200,―,―,0
20240413,0019,17,阪神,土,11,3連複,05―08―16,100,―,―,0
20240413,0019,18,阪神,土,11,3連複,05―13―15,500,―,―,0
20240413,0019,19,阪神,土,11,3連複,05―13―16,500,―,―,0
20240413,0019,20,阪神,土,11,3連複,05―15―16,500,―,―,0
20240413,0020,01,福島,土,12,単勝,10,1300,―,―,0
20240413,0020,02,福島,土,12,複勝,10,5000,的中10,190,9500
20240413,0021,01,中山,土,12,3連複,03―05―06,200,―,―,0
20240413,0021,02,中山,土,12,3連複,03―05―07,200,―,―,0
20240413,0021,03,中山,土,12,3連複,03―05―12,200,―,―,0
20240413,0021,04,中山,土,12,3連複,03―05―15,200,―,―,0
20240413,0021,05,中山,土,12,3連複,03―06―07,200,―,―,0
20240413,0021,06,中山,土,12,3連複,03―06―12,1000,―,―,0
20240413,0021,07,中山,土,12,3連複,03―06―15,1000,―,―,0
20240413,0021,08,中山,土,12,3連複,03―07―12,200,―,―,0
20240413,0021,09,中山,土,12,3連複,03―07―15,1000,―,―,0
20240413,0021,10,中山,土,12,3連複,03―12―15,1000,―,―,0
20240413,0021,11,中山,土,12,3連複,05―06―07,200,―,―,0
20240413,0021,12,中山,土,12,3連複,05―06―12,200,―,―,0
20240413,0021,13,中山,土,12,3連複,05―06―15,200,―,―,0
20240413,0021,14,中山,土,12,3連複,05―07―12,200,―,―,0
20240413,0021,15,中山,土,12,3連複,05―07―15,100,―,―,0
20240413,0021,16,中山,土,12,3連複,05―12―15,200,―,―,0
20240413,0021,17,中山,土,12,3連複,06―07―12,200,―,―,0
20240413,0021,18,中山,土,12,3連複,06―07―15,1000,―,―,0
20240413,0021,19,中山,土,12,3連複,06―12―15,1000,―,―,0
20240413,0021,20,中山,土,12,3連複,07―12―15,1000,―,―,0
,,合計,,,,,,94200,,,64200
