日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20241020,0001,01,京都,日,1,3連複,02―07―08,3000,―,―,0
20241020,0001,02,京都,日,1,3連単,08→02→04,500,―,―,0
20241020,0001,03,京都,日,1,3連単,08→02→07,500,―,―,0
20241020,0001,04,京都,日,1,単勝,08,3000,―,―,0
20241020,0001,05,京都,日,1,馬連,02―08,10000,的中02―08,190,19000
20241020,0001,06,京都,日,1,3連複,02―03―08,3000,―,―,0
20241020,0001,07,京都,日,1,3連単,08→02→03,500,―,―,0
20241020,0002,01,新潟,日,3,3連複,01―03―07,1000,―,―,0
20241020,0002,02,新潟,日,3,3連複,01―04―07,1000,―,―,0
20241020,0002,03,新潟,日,3,3連複,01―06―07,2000,的中01―06―07,420,8400
20241020,0002,04,新潟,日,3,単勝,01,1500,的中01,430,6450
20241020,0002,05,新潟,日,3,3連複,01―03―04,300,―,―,0
20241020,0002,06,新潟,日,3,3連複,01―03―05,200,―,―,0
20241020,0003,01,京都,日,11,複勝,04,25000,―,―,0
20241020,0003,02,京都,日,11,ワイド,04―07,1700,―,―,0
20241020,0003,03,京都,日,11,馬連,04―07,300,―,―,0
,,合計,,,,,,53500,,,33850
