日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240310,0004,01,中京,日,3,単勝,02,3000,―,―,0
20240310,0004,02,中京,日,3,馬連,01―02,2000,―,―,0
20240310,0004,03,中京,日,3,馬連,02―05,500,―,―,0
20240310,0004,04,中京,日,3,ワイド,02―05,3000,―,―,0
20240310,0005,01,阪神,日,3,馬連,03―12,300,―,―,0
20240310,0005,02,阪神,日,3,馬連,05―12,300,―,―,0
20240310,0005,03,阪神,日,3,馬連,09―12,300,―,―,0
20240310,0005,04,阪神,日,3,馬単,12→03,300,―,―,0
20240310,0005,05,阪神,日,3,馬単,12→05,300,―,―,0
20240310,0005,06,阪神,日,3,馬単,12→09,300,―,―,0
20240310,0005,07,阪神,日,3,ワイド,03―12,1000,―,―,0
20240310,0005,08,阪神,日,3,ワイド,05―12,1000,―,―,0
20240310,0005,09,阪神,日,3,ワイド,09―12,1000,―,―,0
20240310,0006,01,阪神,日,4,3連単,05→01→03,800,―,―,0
20240310,0006,02,阪神,日,4,3連単,05→01→09,800,―,―,0
20240310,0006,03,阪神,日,4,3連単,05→01→10,800,―,―,0
20240310,0006,04,阪神,日,4,3連単,05→03→01,800,―,―,0
20240310,0006,05,阪神,日,4,3連単,05→03→09,800,―,―,0
20240310,0006,06,阪神,日,4,3連単,05→03→10,800,―,―,0
20240310,0006,07,阪神,日,4,3連単,05→09→01,800,―,―,0
20240310,0006,08,阪神,日,4,3連単,05→09→03,800,―,―,0
20240310,0006,09,阪神,日,4,3連単,05→09→10,800,―,―,0
20240310,0006,10,阪神,日,4,3連単,05→10→01,800,―,―,0
20240310,0006,11,阪神,日,4,3連単,05→10→03,800,―,―,0
20240310,0006,12,阪神,日,4,3連単,05→10→09,800,―,―,0
20240310,0007,01,中京,日,5,3連単,09→11→01,500,―,―,0
20240310,0007,02,中京,日,5,3連単,09→11→02,2000,―,―,0
20240310,0007,03,中京,日,5,3連単,09→11→07,500,―,―,0
20240310,0007,04,中京,日,5,3連単,09→11→08,500,―,―,0
20240310,0007,05,中京,日,5,3連単,11→09→01,500,―,―,0
20240310,0007,06,中京,日,5,3連単,11→09→02,500,―,―,0
20240310,0007,07,中京,日,5,3連単,11→09→07,500,―,―,0
20240310,0007,08,中京,日,5,3連単,11→09→08,500,―,―,0
20240310,0008,01,中京,日,6,馬単,04→02,1000,―,―,0
20240310,0008,02,中京,日,6,馬単,04→03,500,―,―,0
20240310,0008,03,中京,日,6,馬単,04→05,1000,―,―,0
20240310,0008,04,中京,日,6,馬単,04→09,500,―,―,0
20240310,0009,01,阪神,日,6,複勝,04,1500,的中04,160,2400
20240310,0010,01,中京,日,11,馬連,03―07,1000,―,―,0
20240310,0010,02,中京,日,11,馬連,04―07,3000,―,―,0
20240310,0010,03,中京,日,11,馬連,04―09,1000,―,―,0
20240310,0010,04,中京,日,11,馬連,04―10,1000,―,―,0
20240310,0010,05,中京,日,11,馬連,04―11,1000,―,―,0
20240310,0010,06,中京,日,11,馬連,04―12,1000,―,―,0
20240310,0010,07,中京,日,11,馬連,07―09,1000,―,―,0
20240310,0010,08,中京,日,11,馬連,07―10,500,―,―,0
20240310,0010,09,中京,日,11,馬連,07―11,1000,―,―,0
20240310,0010,10,中京,日,11,馬連,07―12,500,―,―,0
20240310,0010,11,中京,日,11,3連複,04―07―09,500,―,―,0
20240310,0010,12,中京,日,11,3連複,04―07―10,500,―,―,0
20240310,0010,13,中京,日,11,3連複,04―07―11,500,―,―,0
20240310,0010,14,中京,日,11,3連複,04―07―12,500,―,―,0
20240310,0010,15,中京,日,11,3連複,07―09―10,300,―,―,0
20240310,0010,16,中京,日,11,3連複,07―09―11,300,―,―,0
20240310,0010,17,中京,日,11,3連複,07―09―12,300,―,―,0
20240310,0010,18,中京,日,11,3連複,07―10―11,100,―,―,0
20240310,0010,19,中京,日,11,3連複,07―10―12,100,―,―,0
20240310,0010,20,中京,日,11,3連複,07―11―12,100,―,―,0
20240310,0011,01,阪神,日,11,馬連,01―06,3500,―,―,0
20240310,0011,02,阪神,日,11,単勝,06,3500,―,―,0
20240310,0011,03,阪神,日,11,ワイド,06―10,2000,―,―,0
20240310,0011,04,阪神,日,11,馬連,06―10,1000,―,―,0
20240310,0012,01,阪神,日,12,馬連,02―10,3000,―,―,0
20240310,0012,02,阪神,日,12,馬連,03―10,1700,―,―,0
20240310,0012,03,阪神,日,12,馬連,04―10,300,―,―,0
20240310,0012,04,阪神,日,12,馬連,05―10,3000,―,―,0
20240310,0012,05,阪神,日,12,馬連,10―11,2000,―,―,0
,,合計,,,,,,67100,,,2400
