日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20241014,0003,01,東京,月,9,単勝,08,2000,―,―,0
20241014,0003,02,東京,月,9,3連複,02―04―08,1000,―,―,0
20241014,0003,03,東京,月,9,3連複,02―05―08,1000,―,―,0
20241014,0003,04,東京,月,9,3連複,02―06―08,1000,―,―,0
20241014,0003,05,東京,月,9,3連複,03―04―08,500,―,―,0
20241014,0003,06,東京,月,9,3連複,03―05―08,500,的中03―05―08,990,4950
20241014,0003,07,東京,月,9,3連複,03―06―08,500,―,―,0
20241014,0003,08,東京,月,9,3連複,04―05―08,100,―,―,0
20241014,0003,09,東京,月,9,3連複,04―06―08,100,―,―,0
20241014,0003,10,東京,月,9,3連複,05―06―08,100,―,―,0
20241014,0004,01,東京,月,11,3連複,04―05―06,500,―,―,0
20241014,0004,02,東京,月,11,3連複,04―06―07,500,―,―,0
20241014,0004,03,東京,月,11,3連複,04―06―08,500,―,―,0
20241014,0004,04,東京,月,11,3連複,04―06―09,100,―,―,0
20241014,0004,05,東京,月,11,3連複,05―06―07,500,―,―,0
20241014,0004,06,東京,月,11,3連複,05―06―08,500,―,―,0
20241014,0004,07,東京,月,11,3連複,05―06―09,100,―,―,0
20241014,0004,08,東京,月,11,3連複,06―07―08,500,―,―,0
20241014,0004,09,東京,月,11,3連複,06―07―09,100,―,―,0
20241014,0004,10,東京,月,11,3連複,06―08―09,100,―,―,0
20241014,0004,11,東京,月,11,3連単,04→06→10,100,―,―,0
20241014,0004,12,東京,月,11,3連単,04→10→06,100,―,―,0
20241014,0004,13,東京,月,11,3連単,05→06→10,100,―,―,0
20241014,0004,14,東京,月,11,3連単,05→10→06,100,的中05→10→06,29330,29330
20241014,0004,15,東京,月,11,3連単,06→04→10,100,―,―,0
20241014,0004,16,東京,月,11,3連単,06→05→10,100,―,―,0
20241014,0004,17,東京,月,11,3連単,06→07→10,100,―,―,0
20241014,0004,18,東京,月,11,3連単,06→08→10,100,―,―,0
20241014,0004,19,東京,月,11,3連単,06→10→04,100,―,―,0
20241014,0004,20,東京,月,11,3連単,06→10→05,100,―,―,0
20241014,0004,21,東京,月,11,3連単,06→10→07,100,―,―,0
20241014,0004,22,東京,月,11,3連単,06→10→08,100,―,―,0
20241014,0004,23,東京,月,11,3連単,07→06→10,100,―,―,0
20241014,0004,24,東京,月,11,3連単,07→10→06,100,―,―,0
20241014,0004,25,東京,月,11,3連単,08→06→10,100,―,―,0
20241014,0004,26,東京,月,11,3連単,08→10→06,100,―,―,0
20241014,0004,27,東京,月,11,3連単,10→04→06,100,―,―,0
20241014,0004,28,東京,月,11,3連単,10→05→06,100,―,―,0
20241014,0004,29,東京,月,11,3連単,10→06→04,100,―,―,0
20241014,0004,30,東京,月,11,3連単,10→06→05,100,―,―,0
20241014,0004,31,東京,月,11,3連単,10→06→07,100,―,―,0
20241014,0004,32,東京,月,11,3連単,10→06→08,100,―,―,0
20241014,0004,33,東京,月,11,3連単,10→07→06,100,―,―,0
20241014,0004,34,東京,月,11,3連単,10→08→06,100,―,―,0
20241014,0005,01,盛岡,月,12,単勝,01,10000,的中01,110,11000
,,合計,,,,,,22600,,,45280
