日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240324,0017,01,阪神,日,1,3連複,03―07―08,500,―,―,0
20240324,0017,02,阪神,日,1,3連複,03―07―10,1000,―,―,0
20240324,0017,03,阪神,日,1,3連複,03―07―15,500,―,―,0
20240324,0017,04,阪神,日,1,3連複,03―07―16,500,―,―,0
20240324,0017,05,阪神,日,1,3連複,03―08―10,1000,―,―,0
20240324,0017,06,阪神,日,1,3連複,03―08―15,500,―,―,0
20240324,0017,07,阪神,日,1,3連複,03―08―16,800,―,―,0
20240324,0017,08,阪神,日,1,3連複,03―10―15,2000,―,―,0
20240324,0017,09,阪神,日,1,3連複,03―10―16,2000,―,―,0
20240324,0017,10,阪神,日,1,3連複,03―15―16,500,―,―,0
20240324,0018,01,中京,日,1,馬単,01→08,3000,的中01→08,800,24000
20240324,0018,02,中京,日,1,馬単,01→11,3000,―,―,0
20240324,0018,03,中京,日,1,3連単,01→08→03,500,―,―,0
20240324,0018,04,中京,日,1,3連単,01→08→11,500,―,―,0
20240324,0018,05,中京,日,1,3連単,01→08→13,500,―,―,0
20240324,0018,06,中京,日,1,3連単,01→11→03,500,―,―,0
20240324,0018,07,中京,日,1,3連単,01→11→08,500,―,―,0
20240324,0018,08,中京,日,1,3連単,01→11→13,500,―,―,0
20240324,0018,09,中京,日,1,馬単,01→03,1000,―,―,0
20240324,0018,10,中京,日,1,馬単,01→13,1000,―,―,0
20240324,0019,01,中山,日,2,馬連,05―08,2000,―,―,0
20240324,0019,02,中山,日,2,馬連,05―09,2000,―,―,0
20240324,0019,03,中山,日,2,3連複,05―08―09,500,―,―,0
20240324,0020,01,中京,日,3,馬連,02―10,2500,―,―,0
20240324,0020,02,中京,日,3,3連複,02―06―10,1000,―,―,0
20240324,0020,03,中京,日,3,3連複,02―10―11,1000,―,―,0
20240324,0020,04,中京,日,3,3連複,02―10―12,1000,―,―,0
20240324,0020,05,中京,日,3,3連複,02―10―14,1500,―,―,0
