日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240203,0001,01,京都,土,1,馬連,07―10,300,―,―,0
20240203,0001,02,京都,土,1,馬連,07―11,700,―,―,0
20240203,0001,03,京都,土,1,馬連,10―11,700,―,―,0
20240203,0001,04,京都,土,1,ワイド,10―11,1300,―,―,0
20240203,0002,01,東京,土,1,単勝,12,500,―,―,0
20240203,0002,02,東京,土,1,複勝,12,1500,的中12,170,2550
20240203,0003,01,京都,土,3,単勝,01,1000,―,―,0
20240203,0003,02,京都,土,3,馬単,01→04,100,―,―,0
20240203,0003,03,京都,土,3,馬単,01→09,100,―,―,0
20240203,0003,04,京都,土,3,ワイド,01―04,500,―,―,0
20240203,0003,05,京都,土,3,ワイド,01―09,500,―,―,0
20240203,0004,01,東京,土,3,単勝,12,2000,―,―,0
20240203,0004,02,東京,土,3,ワイド,02―12,500,―,―,0
20240203,0004,03,東京,土,3,ワイド,09―12,1000,―,―,0
20240203,0004,04,東京,土,3,ワイド,11―12,500,―,―,0
20240203,0005,01,東京,土,4,馬単,03→02,1000,―,―,0
20240203,0005,02,東京,土,4,馬単,03→05,500,―,―,0
20240203,0005,03,東京,土,4,馬単,03→06,2500,―,―,0
20240203,0005,04,東京,土,4,馬単,03→08,1000,―,―,0
20240203,0006,01,京都,土,5,ワイド,01―15,1500,―,―,0
20240203,0006,02,京都,土,5,ワイド,02―15,1000,―,―,0
20240203,0007,01,東京,土,5,馬単,04→02,1500,―,―,0
20240203,0007,02,東京,土,5,馬単,04→07,1000,―,―,0
20240203,0007,03,東京,土,5,馬単,04→16,1500,―,―,0
20240203,0008,01,小倉,土,6,馬連,02―06,1500,―,―,0
20240203,0008,02,小倉,土,6,馬連,06―11,1000,―,―,0
20240203,0009,01,京都,土,6,ワイド,08―09,3000,的中08―09,230,6900
20240203,0010,01,東京,土,6,単勝,06,500,―,―,0
20240203,0010,02,東京,土,6,複勝,06,1500,的中06,160,2400
20240203,0011,01,東京,土,7,3連単,07→02→04,500,―,―,0
20240203,0011,02,東京,土,7,3連単,07→03→04,500,的中07→03→04,1510,7550
20240203,0011,03,東京,土,7,3連単,07→04→02,1000,―,―,0
20240203,0011,04,東京,土,7,3連単,07→04→03,2000,―,―,0
20240203,0011,05,東京,土,7,3連単,07→04→11,1000,―,―,0
20240203,0011,06,東京,土,7,3連単,07→11→04,500,―,―,0
20240203,0012,01,東京,土,8,複勝,02,3000,―,―,0
20240203,0013,01,京都,土,9,馬連,08―12,1500,―,―,0
20240203,0013,02,京都,土,9,ワイド,08―12,2500,的中08―12,290,7250
20240203,0013,03,京都,土,9,馬単,08→12,500,―,―,0
20240203,0014,01,京都,土,10,単勝,03,2000,―,―,0
20240203,0014,02,京都,土,10,ワイド,03―04,1000,―,―,0
20240203,0014,03,京都,土,10,ワイド,03―06,1000,―,―,0
20240203,0014,04,京都,土,10,馬単,03→02,500,―,―,0
20240203,0014,05,京都,土,10,馬単,03→04,500,―,―,0
20240203,0014,06,京都,土,10,馬単,03→05,500,―,―,0
20240203,0014,07,京都,土,10,馬単,03→06,500,―,―,0
20240203,0014,08,京都,土,10,馬単,03→07,1000,―,―,0
20240203,0014,09,京都,土,10,馬単,03→11,1000,―,―,0
20240203,0015,01,東京,土,10,3連単,06→15→03,500,―,―,0
20240203,0015,02,東京,土,10,3連単,06→15→09,500,―,―,0
20240203,0015,03,東京,土,10,3連単,06→15→12,500,―,―,0
20240203,0015,04,東京,土,10,3連単,06→15→13,500,―,―,0
20240203,0015,05,東京,土,10,3連単,15→06→03,500,―,―,0
20240203,0015,06,東京,土,10,3連単,15→06→09,500,―,―,0
20240203,0015,07,東京,土,10,3連単,15→06→12,500,―,―,0
20240203,0015,08,東京,土,10,3連単,15→06→13,500,―,―,0
20240203,0016,01,小倉,土,11,馬単,05→01,500,―,―,0
20240203,0016,02,小倉,土,11,馬単,05→11,2000,―,―,0
20240203,0016,03,小倉,土,11,3連複,01―05―11,5000,―,―,0
20240203,0016,04,小倉,土,11,3連単,05→11→01,1000,―,―,0
20240203,0017,01,京都,土,11,単勝,05,2000,―,―,0
20240203,0017,02,京都,土,11,馬連,05―10,1500,―,―,0
20240203,0017,03,京都,土,11,馬連,05―12,2500,―,―,0
20240203,0017,04,京都,土,11,馬単,05→10,700,―,―,0
20240203,0017,05,京都,土,11,馬単,05→12,1000,―,―,0
20240203,0017,06,京都,土,11,3連複,05―10―12,1000,―,―,0
20240203,0018,01,東京,土,11,馬連,04―05,4200,―,―,0
,,合計,,,,,,76600,,,26650
