日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240728,0001,01,札幌,日,8,馬単,06→04,2000,―,―,0
20240728,0001,02,札幌,日,8,馬単,06→05,2000,―,―,0
20240728,0001,03,札幌,日,8,馬単,06→08,3000,―,―,0
20240728,0001,04,札幌,日,8,馬単,06→12,3000,―,―,0
20240728,0002,01,新潟,日,6,3連複,01―03―05,300,―,―,0
20240728,0002,02,新潟,日,6,3連複,01―04―05,300,―,―,0
20240728,0002,03,新潟,日,6,3連複,01―05―11,300,―,―,0
20240728,0002,04,新潟,日,6,3連複,01―05―16,300,―,―,0
20240728,0002,05,新潟,日,6,3連複,03―04―05,300,―,―,0
20240728,0002,06,新潟,日,6,3連複,03―05―11,300,的中03―05―11,2770,8310
20240728,0002,07,新潟,日,6,3連複,03―05―16,300,―,―,0
20240728,0002,08,新潟,日,6,3連複,04―05―11,300,―,―,0
20240728,0002,09,新潟,日,6,3連複,04―05―16,300,―,―,0
20240728,0002,10,新潟,日,6,3連複,05―11―16,300,―,―,0
20240728,0003,01,新潟,日,7,ワイド,08―09,1000,―,―,0
20240728,0003,02,新潟,日,7,ワイド,08―14,1000,―,―,0
20240728,0003,03,新潟,日,7,ワイド,08―15,1000,―,―,0
20240728,0003,04,新潟,日,7,ワイド,09―14,1000,―,―,0
20240728,0003,05,新潟,日,7,ワイド,09―15,1000,―,―,0
20240728,0003,06,新潟,日,7,ワイド,14―15,1000,―,―,0
20240728,0003,07,新潟,日,7,3連複,08―09―14,100,―,―,0
20240728,0003,08,新潟,日,7,3連複,08―09―15,100,―,―,0
20240728,0003,09,新潟,日,7,3連複,08―14―15,100,―,―,0
20240728,0003,10,新潟,日,7,3連複,09―14―15,100,―,―,0
20240728,0003,11,新潟,日,7,単勝,08,3000,―,―,0
20240728,0004,01,札幌,日,12,ワイド,05―07,10000,―,―,0
20240728,0005,01,新潟,日,10,単勝,09,3000,―,―,0
20240728,0005,02,新潟,日,10,ワイド,03―09,7000,―,―,0
20240728,0006,01,新潟,日,11,ワイド,05―11,10000,―,―,0
20240728,0006,02,新潟,日,11,3連複,05―06―11,500,―,―,0
20240728,0006,03,新潟,日,11,3連複,05―11―15,500,―,―,0
20240728,0006,04,新潟,日,11,馬連,05―11,2000,―,―,0
20240728,0007,01,新潟,日,12,単勝,03,5000,―,―,0
20240728,0007,02,新潟,日,12,馬連,03―06,1000,―,―,0
20240728,0007,03,新潟,日,12,馬連,03―08,1000,的中03―08,1470,14700
20240728,0007,04,新潟,日,12,馬連,03―10,3000,―,―,0
20240728,0007,05,新潟,日,12,馬連,03―15,1000,―,―,0
20240728,0007,06,新潟,日,12,3連複,03―06―15,500,―,―,0
20240728,0007,07,新潟,日,12,3連複,03―08―15,500,―,―,0
20240728,0007,08,新潟,日,12,3連複,03―10―15,500,―,―,0
,,合計,,,,,,67900,,,23010
