日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240106,0001,01,京都,土,1,馬連,06―14,500,―,―,0
20240106,0001,02,京都,土,1,馬連,12―14,500,―,―,0
20240106,0001,03,京都,土,1,馬連,13―14,500,―,―,0
20240106,0001,04,京都,土,1,馬連,14―15,1500,―,―,0
20240106,0001,05,京都,土,1,馬連,14―16,500,―,―,0
20240106,0001,06,京都,土,1,ワイド,12―14,2500,―,―,0
20240106,0002,01,京都,土,1,ワイド,12―14,1000,―,―,0
20240106,0003,01,京都,土,2,馬連,02―03,200,―,―,0
20240106,0003,02,京都,土,2,馬連,02―04,200,―,―,0
20240106,0003,03,京都,土,2,馬連,02―15,200,―,―,0
20240106,0003,04,京都,土,2,馬連,02―16,200,―,―,0
20240106,0003,05,京都,土,2,馬連,03―04,1000,―,―,0
20240106,0003,06,京都,土,2,馬連,03―15,200,―,―,0
20240106,0003,07,京都,土,2,馬連,03―16,200,―,―,0
20240106,0003,08,京都,土,2,馬連,04―15,200,―,―,0
20240106,0003,09,京都,土,2,馬連,04―16,200,―,―,0
20240106,0003,10,京都,土,2,馬連,15―16,200,―,―,0
20240106,0003,11,京都,土,2,ワイド,03―04,2000,―,―,0
20240106,0003,12,京都,土,2,単勝,03,1000,―,―,0
20240106,0004,01,京都,土,3,馬連,07―08,500,―,―,0
20240106,0004,02,京都,土,3,ワイド,07―08,1000,―,―,0
20240106,0004,03,京都,土,3,3連複,02―07―08,200,―,―,0
20240106,0004,04,京都,土,3,3連複,04―07―08,200,―,―,0
20240106,0004,05,京都,土,3,3連複,07―08―10,200,―,―,0
20240106,0004,06,京都,土,3,3連複,07―08―11,200,―,―,0
20240106,0004,07,京都,土,3,3連複,07―08―12,200,―,―,0
20240106,0005,01,京都,土,4,3連複,04―06―14,500,―,―,0
20240106,0005,02,京都,土,4,馬連,04―06,1000,―,―,0
20240106,0005,03,京都,土,4,馬連,04―14,1000,―,―,0
20240106,0005,04,京都,土,4,馬連,06―14,1000,―,―,0
20240106,0005,05,京都,土,4,単勝,14,1000,―,―,0
20240106,0005,06,京都,土,4,馬単,14→04,300,―,―,0
20240106,0005,07,京都,土,4,馬単,14→06,300,―,―,0
20240106,0005,08,京都,土,4,3連単,14→04→06,100,―,―,0
20240106,0005,09,京都,土,4,3連単,14→06→04,100,―,―,0
20240106,0006,01,京都,土,5,馬連,01―07,500,―,―,0
20240106,0006,02,京都,土,5,馬連,05―07,1000,―,―,0
20240106,0006,03,京都,土,5,馬連,07―08,500,―,―,0
20240106,0006,04,京都,土,5,ワイド,01―05,1000,―,―,0
20240106,0006,05,京都,土,5,ワイド,01―07,1000,―,―,0
20240106,0007,01,京都,土,6,馬単,02→03,3000,的中02→03,430,12900
20240106,0007,02,京都,土,6,ワイド,02―03,5000,的中02―03,160,8000
20240106,0007,03,京都,土,6,3連単,02→03→01,1000,―,―,0
20240106,0007,04,京都,土,6,3連単,02→03→05,1000,―,―,0
20240106,0007,05,京都,土,6,3連単,02→03→10,1000,―,―,0
20240106,0008,01,京都,土,7,3連複,02―08―10,300,―,―,0
20240106,0008,02,京都,土,7,3連複,02―08―11,300,―,―,0
20240106,0008,03,京都,土,7,3連複,02―10―11,300,―,―,0
20240106,0008,04,京都,土,7,3連複,08―10―11,300,―,―,0
20240106,0008,05,京都,土,7,馬連,02―08,500,―,―,0
20240106,0008,06,京都,土,7,馬連,02―10,500,―,―,0
20240106,0008,07,京都,土,7,馬連,02―11,500,―,―,0
20240106,0008,08,京都,土,7,馬連,08―10,100,―,―,0
20240106,0008,09,京都,土,7,馬連,08―11,100,―,―,0
20240106,0008,10,京都,土,7,馬連,10―11,100,―,―,0
20240106,0008,11,京都,土,7,単勝,02,1000,―,―,0
