日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240210,0001,01,京都,土,2,ワイド,05―10,3000,―,―,0
20240210,0001,02,京都,土,2,馬単,10→05,2000,―,―,0
20240210,0002,01,東京,土,3,単勝,11,3000,―,―,0
20240210,0002,02,東京,土,3,3連複,01―04―11,1000,―,―,0
20240210,0002,03,東京,土,3,3連複,02―04―11,1000,―,―,0
20240210,0002,04,東京,土,3,3連複,04―08―11,1000,―,―,0
20240210,0002,05,東京,土,3,ワイド,01―11,1500,―,―,0
20240210,0002,06,東京,土,3,ワイド,02―11,1500,的中02―11,880,13200
20240210,0002,07,東京,土,3,ワイド,08―11,1500,―,―,0
20240210,0002,08,東京,土,3,馬連,01―11,300,―,―,0
20240210,0002,09,東京,土,3,馬連,02―11,300,的中02―11,3740,11220
20240210,0002,10,東京,土,3,馬連,08―11,300,―,―,0
20240210,0002,11,東京,土,3,馬単,01→11,100,―,―,0
20240210,0002,12,東京,土,3,馬単,02→11,100,的中02→11,9500,9500
20240210,0002,13,東京,土,3,馬単,08→11,100,―,―,0
20240210,0002,14,東京,土,3,ワイド,01―02,500,―,―,0
20240210,0002,15,東京,土,3,ワイド,01―08,500,―,―,0
20240210,0002,16,東京,土,3,ワイド,02―08,500,―,―,0
20240210,0003,01,東京,土,7,3連単,04→06→08,1000,―,―,0
20240210,0003,02,東京,土,7,3連単,04→06→09,1000,―,―,0
20240210,0003,03,東京,土,7,3連単,04→06→11,1000,―,―,0
20240210,0003,04,東京,土,7,3連単,04→06→12,1000,―,―,0
20240210,0003,05,東京,土,7,3連単,04→06→13,1000,―,―,0
20240210,0003,06,東京,土,7,3連単,04→09→06,200,―,―,0
20240210,0003,07,東京,土,7,3連単,04→09→08,200,―,―,0
20240210,0003,08,東京,土,7,3連単,04→09→11,200,―,―,0
20240210,0003,09,東京,土,7,3連単,04→09→12,200,的中04→09→12,2870,5740
20240210,0003,10,東京,土,7,3連単,04→09→13,200,―,―,0
20240210,0003,11,東京,土,7,馬単,04→06,4000,―,―,0
20240210,0004,01,東京,土,11,単勝,07,500,―,―,0
20240210,0004,02,東京,土,11,複勝,07,5000,―,―,0
20240210,0004,03,東京,土,11,ワイド,03―04,3400,―,―,0
20240210,0004,04,東京,土,11,ワイド,03―07,1000,―,―,0
20240210,0004,05,東京,土,11,ワイド,04―07,1500,―,―,0
,,合計,,,,,,39600,,,39660
