日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240121,0018,01,京都,日,1,複勝,08,2500,的中08,140,3500
20240121,0019,01,中山,日,1,複勝,12,3000,的中12,110,3300
20240121,0020,01,中山,日,3,複勝,03,3500,的中03,130,4550
20240121,0021,01,中山,日,4,馬連,01―04,500,―,―,0
20240121,0021,02,中山,日,4,馬連,01―05,500,―,―,0
20240121,0021,03,中山,日,4,馬連,01―06,500,―,―,0
20240121,0021,04,中山,日,4,馬連,01―12,500,―,―,0
20240121,0021,05,中山,日,4,馬連,04―05,500,―,―,0
20240121,0021,06,中山,日,4,馬連,04―06,500,―,―,0
20240121,0021,07,中山,日,4,馬連,04―12,500,―,―,0
20240121,0021,08,中山,日,4,馬連,05―06,500,―,―,0
20240121,0021,09,中山,日,4,馬連,05―12,500,―,―,0
20240121,0021,10,中山,日,4,馬連,06―12,500,―,―,0
20240121,0021,11,中山,日,4,馬単,04→01,500,―,―,0
20240121,0021,12,中山,日,4,馬単,04→05,500,―,―,0
20240121,0021,13,中山,日,4,馬単,04→06,500,―,―,0
20240121,0021,14,中山,日,4,馬単,04→12,500,―,―,0
20240121,0021,15,中山,日,4,馬単,05→01,500,―,―,0
20240121,0021,16,中山,日,4,馬単,05→04,500,―,―,0
20240121,0021,17,中山,日,4,馬単,05→06,500,―,―,0
20240121,0021,18,中山,日,4,馬単,05→12,500,―,―,0
20240121,0022,01,京都,日,6,ワイド,01―04,10000,―,―,0
20240121,0023,01,中山,日,6,複勝,11,1000,―,―,0
20240121,0024,01,京都,日,7,馬単,09→04,2500,―,―,0
20240121,0024,02,京都,日,7,馬単,09→05,1000,―,―,0
20240121,0024,03,京都,日,7,馬単,09→07,1000,―,―,0
20240121,0024,04,京都,日,7,馬単,09→10,1000,的中09→10,1660,16600
20240121,0024,05,京都,日,7,馬単,09→15,1000,―,―,0
20240121,0024,06,京都,日,7,ワイド,09―10,2500,的中09―10,540,13500
20240121,0025,01,京都,日,8,複勝,05,1500,―,―,0
20240121,0026,01,中山,日,8,ワイド,04―06,500,―,―,0
20240121,0026,02,中山,日,8,ワイド,06―10,500,―,―,0
20240121,0026,03,中山,日,8,ワイド,06―11,500,―,―,0
20240121,0026,04,中山,日,8,ワイド,06―15,500,―,―,0
20240121,0026,05,中山,日,8,馬単,06→04,100,―,―,0
20240121,0026,06,中山,日,8,馬単,06→10,100,―,―,0
20240121,0026,07,中山,日,8,馬単,06→11,100,―,―,0
20240121,0026,08,中山,日,8,馬単,06→15,100,―,―,0
20240121,0027,01,京都,日,9,馬連,07―09,500,―,―,0
20240121,0027,02,京都,日,9,馬連,09―10,500,―,―,0
20240121,0028,01,中山,日,9,ワイド,05―10,2000,―,―,0
20240121,0029,01,京都,日,11,馬連,01―03,500,―,―,0
20240121,0029,02,京都,日,11,馬連,01―06,500,―,―,0
20240121,0029,03,京都,日,11,馬連,01―11,500,―,―,0
20240121,0029,04,京都,日,11,馬連,01―14,500,―,―,0
20240121,0029,05,京都,日,11,馬連,03―06,1000,―,―,0
20240121,0029,06,京都,日,11,馬連,03―11,1000,―,―,0
20240121,0029,07,京都,日,11,馬連,03―14,500,―,―,0
