日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240505,0021,01,京都,日,1,3連複,02―07―09,1500,―,―,0
20240505,0021,02,京都,日,1,3連複,03―07―09,1000,―,―,0
20240505,0021,03,京都,日,1,3連複,04―07―09,1500,―,―,0
20240505,0022,01,東京,日,1,3連複,04―05―10,1000,―,―,0
20240505,0022,02,東京,日,1,3連複,04―06―10,300,―,―,0
20240505,0022,03,東京,日,1,3連複,04―09―10,300,―,―,0
20240505,0022,04,東京,日,1,3連複,04―10―11,1000,―,―,0
20240505,0022,05,東京,日,1,3連複,05―06―10,300,―,―,0
20240505,0022,06,東京,日,1,3連複,05―09―10,500,―,―,0
20240505,0022,07,東京,日,1,3連複,05―10―11,2000,―,―,0
20240505,0022,08,東京,日,1,3連複,06―09―10,300,―,―,0
20240505,0022,09,東京,日,1,3連複,06―10―11,300,―,―,0
20240505,0022,10,東京,日,1,3連複,09―10―11,300,的中09―10―11,3390,10170
20240505,0023,01,京都,日,2,3連複,02―05―09,1500,―,―,0
20240505,0023,02,京都,日,2,3連複,02―07―09,1500,―,―,0
20240505,0023,03,京都,日,2,3連複,02―08―09,500,―,―,0
20240505,0023,04,京都,日,2,3連複,02―09―11,500,―,―,0
20240505,0023,05,京都,日,2,3連複,05―07―09,1000,―,―,0
20240505,0023,06,京都,日,2,3連複,05―08―09,500,―,―,0
20240505,0023,07,京都,日,2,3連複,05―09―11,500,―,―,0
20240505,0023,08,京都,日,2,3連複,07―08―09,500,―,―,0
20240505,0023,09,京都,日,2,3連複,07―09―11,500,―,―,0
20240505,0023,10,京都,日,2,3連複,08―09―11,500,―,―,0
20240505,0024,01,東京,日,2,3連単,15→06→07,500,―,―,0
20240505,0024,02,東京,日,2,3連単,15→06→08,500,―,―,0
20240505,0024,03,東京,日,2,3連単,15→06→11,500,―,―,0
20240505,0024,04,東京,日,2,3連単,15→06→12,500,的中15→06→12,3190,15950
20240505,0024,05,東京,日,2,3連単,15→06→13,500,―,―,0
20240505,0024,06,東京,日,2,3連単,15→07→06,500,―,―,0
20240505,0024,07,東京,日,2,3連単,15→07→08,100,―,―,0
20240505,0024,08,東京,日,2,3連単,15→07→11,100,―,―,0
20240505,0024,09,東京,日,2,3連単,15→07→12,200,―,―,0
20240505,0024,10,東京,日,2,3連単,15→07→13,300,―,―,0
20240505,0024,11,東京,日,2,3連単,15→12→06,300,―,―,0
20240505,0024,12,東京,日,2,3連単,15→12→07,100,―,―,0
20240505,0024,13,東京,日,2,3連単,15→12→08,100,―,―,0
20240505,0024,14,東京,日,2,3連単,15→12→11,100,―,―,0
20240505,0024,15,東京,日,2,3連単,15→12→13,200,―,―,0
20240505,0025,01,東京,日,2,馬単,15→07,1000,―,―,0
20240505,0025,02,東京,日,2,馬単,15→08,500,―,―,0
20240505,0025,03,東京,日,2,馬単,15→11,500,―,―,0
20240505,0025,04,東京,日,2,馬単,15→12,1000,―,―,0
20240505,0026,01,京都,日,3,ワイド,01―10,1000,的中01―10,390,3900
20240505,0026,02,京都,日,3,ワイド,01―12,1500,―,―,0
20240505,0026,03,京都,日,3,ワイド,02―10,1000,―,―,0
20240505,0026,04,京都,日,3,ワイド,02―12,1500,―,―,0
