日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240420,0001,01,福島,土,1,ワイド,01―07,1000,的中01―07,470,4700
20240420,0001,02,福島,土,1,ワイド,01―14,1000,―,―,0
20240420,0001,03,福島,土,1,ワイド,07―10,1000,―,―,0
20240420,0001,04,福島,土,1,ワイド,07―12,1000,的中07―12,460,4600
20240420,0001,05,福島,土,1,ワイド,10―14,1000,―,―,0
20240420,0001,06,福島,土,1,ワイド,12―14,1000,―,―,0
20240420,0001,07,福島,土,1,3連複,01―07―14,300,―,―,0
20240420,0001,08,福島,土,1,3連複,01―08―14,300,―,―,0
20240420,0001,09,福島,土,1,3連複,01―10―14,300,―,―,0
20240420,0001,10,福島,土,1,3連複,01―12―14,300,―,―,0
20240420,0001,11,福島,土,1,3連複,07―08―14,300,―,―,0
20240420,0001,12,福島,土,1,3連複,07―10―14,300,―,―,0
20240420,0001,13,福島,土,1,3連複,07―12―14,300,―,―,0
20240420,0001,14,福島,土,1,3連複,08―10―14,300,―,―,0
20240420,0001,15,福島,土,1,3連複,08―12―14,300,―,―,0
20240420,0001,16,福島,土,1,3連複,10―12―14,300,―,―,0
20240420,0002,01,京都,土,1,馬単,01→12,500,―,―,0
20240420,0002,02,京都,土,1,馬単,06→12,500,―,―,0
20240420,0002,03,京都,土,1,馬単,08→12,500,―,―,0
20240420,0002,04,京都,土,1,馬単,11→12,500,―,―,0
20240420,0002,05,京都,土,1,馬単,14→12,500,―,―,0
20240420,0002,06,京都,土,1,馬単,15→12,500,―,―,0
20240420,0003,01,東京,土,1,ワイド,06―15,1000,的中06―15,490,4900
20240420,0003,02,東京,土,1,ワイド,06―16,1000,―,―,0
20240420,0003,03,東京,土,1,ワイド,10―15,1000,―,―,0
20240420,0003,04,東京,土,1,ワイド,10―16,1000,―,―,0
20240420,0003,05,東京,土,1,3連複,01―06―16,100,―,―,0
20240420,0003,06,東京,土,1,3連複,01―10―16,100,―,―,0
20240420,0003,07,東京,土,1,3連複,01―14―16,100,―,―,0
20240420,0003,08,東京,土,1,3連複,01―15―16,100,―,―,0
20240420,0003,09,東京,土,1,3連複,06―10―16,500,―,―,0
20240420,0003,10,東京,土,1,3連複,06―14―16,100,―,―,0
20240420,0003,11,東京,土,1,3連複,06―15―16,1000,―,―,0
