日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240821,0001,01,ヨーク（イギリス）,水,4,ワイド,01―09,2000,―,―,0
20240821,0001,02,ヨーク（イギリス）,水,4,ワイド,01―12,2000,―,―,0
20240821,0001,03,ヨーク（イギリス）,水,4,ワイド,01―13,1000,―,―,0
20240821,0001,04,ヨーク（イギリス）,水,4,ワイド,09―13,1000,―,―,0
20240821,0001,05,ヨーク（イギリス）,水,4,馬連,01―09,1000,―,―,0
20240821,0001,06,ヨーク（イギリス）,水,4,馬連,01―12,1000,―,―,0
20240821,0001,07,ヨーク（イギリス）,水,4,馬連,01―13,500,―,―,0
20240821,0001,08,ヨーク（イギリス）,水,4,単勝,01,1500,―,―,0
20240821,0001,09,ヨーク（イギリス）,水,4,3連単,01→09→12,100,―,―,0
20240821,0001,10,ヨーク（イギリス）,水,4,3連単,01→09→13,100,―,―,0
20240821,0001,11,ヨーク（イギリス）,水,4,3連単,01→12→09,100,―,―,0
20240821,0001,12,ヨーク（イギリス）,水,4,3連単,01→12→13,100,―,―,0
20240821,0001,13,ヨーク（イギリス）,水,4,3連単,01→13→09,100,―,―,0
20240821,0001,14,ヨーク（イギリス）,水,4,3連単,01→13→12,100,―,―,0
20240821,0001,15,ヨーク（イギリス）,水,4,3連単,09→01→12,100,―,―,0
20240821,0001,16,ヨーク（イギリス）,水,4,3連単,09→01→13,100,―,―,0
20240821,0001,17,ヨーク（イギリス）,水,4,3連単,09→13→01,100,―,―,0
20240821,0001,18,ヨーク（イギリス）,水,4,3連単,09→13→12,100,―,―,0
,,合計,,,,,,11000,,,0
